seed,variant,class,precision,recall,f1,support
777,H0_selective_EB,ACC,0.953125,0.8472222222222222,0.8970588235294118,72
777,H0_selective_EB,BLCA,0.5333333333333333,0.46153846153846156,0.4948453608247423,104
777,H0_selective_EB,BRCA,0.5482233502538071,0.549618320610687,0.5489199491740788,786
777,H0_selective_EB,CESC,0.4700854700854701,0.3548387096774194,0.40441176470588236,155
777,H0_selective_EB,COAD,0.7813953488372093,0.7533632286995515,0.7671232876712328,223
777,H0_selective_EB,DLBC,0.75,0.47368421052631576,0.5806451612903226,38
777,H0_selective_EB,GBMLGG,0.6377551020408163,0.5422993492407809,0.5861664712778429,461
777,H0_selective_EB,HNSC,0.4367816091954023,0.34080717488789236,0.38287153652392947,223
777,H0_selective_EB,KIPAN,0.645021645021645,0.5786407766990291,0.6100307062436029,515
777,H0_selective_EB,KIRC,0.6068796068796068,0.7395209580838323,0.6666666666666666,334
777,H0_selective_EB,LAML,0.6,0.5506329113924051,0.5742574257425742,158
777,H0_selective_EB,LGG,0.6125461254612546,0.7248908296943232,0.664,229
777,H0_selective_EB,LIHC,0.43506493506493504,0.4240506329113924,0.42948717948717946,158
777,H0_selective_EB,LUAD,0.49572649572649574,0.31521739130434784,0.3853820598006645,184
777,H0_selective_EB,LUSC,0.527027027027027,0.6573033707865169,0.585,178
777,H0_selective_EB,OV,0.4171974522292994,0.5177865612648221,0.4620811287477954,253
777,H0_selective_EB,PAAD,0.4117647058823529,0.4083333333333333,0.4100418410041841,120
777,H0_selective_EB,PCPG,0.29955947136563876,0.46258503401360546,0.36363636363636365,147
777,H0_selective_EB,PRAD,0.31378299120234604,0.40225563909774437,0.3525535420098847,266
777,H0_selective_EB,SARC,0.22404371584699453,0.20707070707070707,0.2152230971128609,198
777,H0_selective_EB,SKCM,0.9543568464730291,0.8333333333333334,0.8897485493230174,276
777,H0_selective_EB,STES,0.5465393794749404,0.604221635883905,0.5739348370927319,379
777,H0_selective_EB,TGCT,0.6136363636363636,0.6532258064516129,0.6328125,124
777,H0_selective_EB,THCA,0.7975708502024291,0.6080246913580247,0.6900175131348512,324
777,H0_selective_EB,THYM,0.25333333333333335,0.3877551020408163,0.3064516129032258,98
777,H0_selective_EB,UCEC,0.6720430107526881,0.6313131313131313,0.6510416666666666,198
777,exact_event_EB,ACC,0.881578947368421,0.9305555555555556,0.9054054054054054,72
777,exact_event_EB,BLCA,0.5465116279069767,0.4519230769230769,0.49473684210526314,104
777,exact_event_EB,BRCA,0.5902964959568733,0.5572519083969466,0.5732984293193717,786
777,exact_event_EB,CESC,0.43548387096774194,0.34838709677419355,0.3870967741935484,155
777,exact_event_EB,COAD,0.7612612612612613,0.757847533632287,0.7595505617977528,223
777,exact_event_EB,DLBC,0.7083333333333334,0.4473684210526316,0.5483870967741935,38
777,exact_event_EB,GBMLGG,0.707196029776675,0.6182212581344902,0.6597222222222222,461
777,exact_event_EB,HNSC,0.45664739884393063,0.3542600896860987,0.398989898989899,223
777,exact_event_EB,KIPAN,0.7118279569892473,0.6427184466019418,0.6755102040816326,515
777,exact_event_EB,KIRC,0.6933333333333334,0.7784431137724551,0.7334273624823695,334
777,exact_event_EB,LAML,0.5821917808219178,0.5379746835443038,0.5592105263157895,158
777,exact_event_EB,LGG,0.7349397590361446,0.7991266375545851,0.7656903765690377,229
777,exact_event_EB,LIHC,0.4662576687116564,0.4810126582278481,0.4735202492211838,158
777,exact_event_EB,LUAD,0.5227272727272727,0.375,0.43670886075949367,184
777,exact_event_EB,LUSC,0.5502392344497608,0.6460674157303371,0.5943152454780362,178
777,exact_event_EB,OV,0.4185303514376997,0.5177865612648221,0.4628975265017668,253
777,exact_event_EB,PAAD,0.3958333333333333,0.475,0.4318181818181818,120
777,exact_event_EB,PCPG,0.3393665158371041,0.5102040816326531,0.4076086956521739,147
777,exact_event_EB,PRAD,0.32142857142857145,0.4398496240601504,0.37142857142857144,266
777,exact_event_EB,SARC,0.24444444444444444,0.2222222222222222,0.2328042328042328,198
777,exact_event_EB,SKCM,0.936,0.8478260869565217,0.8897338403041825,276
777,exact_event_EB,STES,0.5742092457420924,0.6226912928759895,0.5974683544303797,379
777,exact_event_EB,TGCT,0.6818181818181818,0.7258064516129032,0.703125,124
777,exact_event_EB,THCA,0.7926829268292683,0.6018518518518519,0.6842105263157895,324
777,exact_event_EB,THYM,0.26490066225165565,0.40816326530612246,0.321285140562249,98
777,exact_event_EB,UCEC,0.64,0.6464646464646465,0.6432160804020101,198
