variant,class,precision,recall,f1-score,support
primary,ACC,0.9090909090909091,0.8333333333333334,0.8695652173913043,72.0
primary,BLCA,0.5375,0.41346153846153844,0.4673913043478261,104.0
primary,BRCA,0.7731958762886598,0.3816793893129771,0.5110732538330494,786.0
primary,CESC,0.3605769230769231,0.4838709677419355,0.4132231404958678,155.0
primary,COAD,0.7989949748743719,0.7130044843049327,0.7535545023696683,223.0
primary,DLBC,0.5405405405405406,0.5263157894736842,0.5333333333333333,38.0
primary,GBMLGG,0.5648535564853556,0.2928416485900217,0.38571428571428573,461.0
primary,HNSC,0.41,0.36771300448430494,0.3877068557919622,223.0
primary,KIPAN,0.2796610169491525,0.19223300970873786,0.22784810126582278,515.0
primary,KIRC,0.23480662983425415,0.25449101796407186,0.2442528735632184,334.0
primary,LAML,0.44571428571428573,0.4936708860759494,0.46846846846846846,158.0
primary,LGG,0.4447852760736196,0.6331877729257642,0.5225225225225225,229.0
primary,LIHC,0.43103448275862066,0.47468354430379744,0.45180722891566266,158.0
primary,LUAD,0.460431654676259,0.34782608695652173,0.39628482972136225,184.0
primary,LUSC,0.5445026178010471,0.5842696629213483,0.5636856368563685,178.0
primary,OV,0.3685446009389671,0.6205533596837944,0.46244477172312226,253.0
primary,PAAD,0.3349282296650718,0.5833333333333334,0.425531914893617,120.0
primary,PCPG,0.19909502262443438,0.5986394557823129,0.298811544991511,147.0
primary,PRAD,0.2825,0.424812030075188,0.33933933933933935,266.0
primary,SARC,0.22435897435897437,0.17676767676767677,0.1977401129943503,198.0
primary,SKCM,0.9661016949152542,0.8260869565217391,0.890625,276.0
primary,STES,0.6317567567567568,0.49340369393139843,0.554074074074074,379.0
primary,TGCT,0.3650190114068441,0.7741935483870968,0.49612403100775193,124.0
primary,THCA,0.8773584905660378,0.5740740740740741,0.6940298507462687,324.0
primary,THYM,0.19583333333333333,0.47959183673469385,0.2781065088757396,98.0
primary,UCEC,0.6229508196721312,0.5757575757575758,0.5984251968503937,198.0
event_tfidf_multinomial,ACC,0.5877192982456141,0.9305555555555556,0.7204301075268817,72.0
event_tfidf_multinomial,BLCA,0.1909307875894988,0.7692307692307693,0.30592734225621415,104.0
event_tfidf_multinomial,BRCA,0.81875,0.3333333333333333,0.47377938517179025,786.0
event_tfidf_multinomial,CESC,0.23469387755102042,0.14838709677419354,0.18181818181818182,155.0
event_tfidf_multinomial,COAD,0.48773006134969327,0.7130044843049327,0.5792349726775956,223.0
event_tfidf_multinomial,DLBC,0.30120481927710846,0.6578947368421053,0.4132231404958678,38.0
event_tfidf_multinomial,GBMLGG,0.59375,0.0824295010845987,0.14476190476190476,461.0
event_tfidf_multinomial,HNSC,0.5757575757575758,0.08520179372197309,0.1484375,223.0
event_tfidf_multinomial,KIPAN,0.2571428571428571,0.05242718446601942,0.08709677419354839,515.0
event_tfidf_multinomial,KIRC,0.3693467336683417,0.44011976047904194,0.4016393442622951,334.0
event_tfidf_multinomial,LAML,0.43646408839779005,0.5,0.46607669616519176,158.0
event_tfidf_multinomial,LGG,0.41202672605790647,0.8078602620087336,0.5457227138643068,229.0
event_tfidf_multinomial,LIHC,0.45864661654135336,0.3860759493670886,0.41924398625429554,158.0
event_tfidf_multinomial,LUAD,0.23655913978494625,0.11956521739130435,0.1588447653429603,184.0
event_tfidf_multinomial,LUSC,0.33095238095238094,0.7808988764044944,0.46488294314381273,178.0
event_tfidf_multinomial,OV,0.38392857142857145,0.33992094861660077,0.36058700209643607,253.0
event_tfidf_multinomial,PAAD,0.2463768115942029,0.5666666666666667,0.3434343434343434,120.0
event_tfidf_multinomial,PCPG,0.1977077363896848,0.46938775510204084,0.2782258064516129,147.0
event_tfidf_multinomial,PRAD,0.32867132867132864,0.3533834586466165,0.34057971014492755,266.0
event_tfidf_multinomial,SARC,0.13793103448275862,0.020202020202020204,0.03524229074889868,198.0
event_tfidf_multinomial,SKCM,0.5355450236966824,0.8188405797101449,0.6475644699140402,276.0
event_tfidf_multinomial,STES,0.7232704402515723,0.3034300791556728,0.4275092936802974,379.0
event_tfidf_multinomial,TGCT,0.3663003663003663,0.8064516129032258,0.5037783375314862,124.0
event_tfidf_multinomial,THCA,0.73046875,0.5771604938271605,0.6448275862068965,324.0
event_tfidf_multinomial,THYM,0.13414634146341464,0.5612244897959183,0.21653543307086615,98.0
event_tfidf_multinomial,UCEC,0.4483985765124555,0.6363636363636364,0.5260960334029228,198.0
event_tfidf_ovr,ACC,1.0,0.75,0.8571428571428571,72.0
